Subject,Body,Labels,Selected,
Urgent: Data Breach Notification,We have detected unusual activity on our servers indicating a possible data breach. Immediate action is required to secure sensitive information.,Security;Urgent;IT Support;Incident;Unknown,Security,
Team Lunch Invitation,Let's gather for a team lunch this Friday at the new Italian restaurant downtown. RSVP by Wednesday!,Social;Internal Communication;Team Building;Invitation;Unknown,Team Building,
Quarterly Financial Report,Attached is the quarterly financial report. Please review the key performance indicators and budget analysis.,Finance;Report;Internal Communication;Urgent;Unknown,Finance,
New Policy Update from HR,Please be informed of the new workplace policies effective immediately. Check the attached document for details.,HR;Internal Communication;Legal;Policy;Unknown,HR,
Your Vacation Request Approved,Congratulations  your vacation request has been approved. Enjoy your time off starting next Monday,Personal;Internal Communication;HR;Notification;Unknown,HR,
New Product Release: SmartWatch X,We're excited to announce the release of SmartWatch X. Discover its innovative features and sleek design now!,Product Launch;Promotion;Internal Communication;Update;Unknown,Product Launch,
Reminder: Software Training Session Tomorrow,Don't forget to attend the software training session scheduled for tomorrow at 2 PM in Conference Room B.,Training;Meeting;Internal Communication;Reminder;Unknown,Training,
Invitation: Annual Charity Gala,You are cordially invited to our Annual Charity Gala. Join us in supporting a great cause. Dress code: formal.,Charity;Event;Social;Promotion;Unknown,Charity,
Conference Registration Confirmation,Your registration for the Global Tech Conference has been confirmed. Please check the attached itinerary for details.,Conference;Travel;Order Confirmation;Notification;Unknown,Conference,
Maintenance Scheduled for Server Room,Please be advised that maintenance will be performed in the server room tonight from 11 PM to 2 AM. Save your work.,IT Support;Maintenance;Internal Communication;Alert;Unknown,Maintenance,
New Blog Post: The Future of AI,Our latest blog post explores the future of AI and its impact on everyday life. Check it out on our website!,Newsletter;Content;Promotion;Internal Communication;Unknown,Newsletter,
Reminder: Doctor's Appointment Tomorrow,This is a friendly reminder for your doctor's appointment scheduled for tomorrow at 9 AM. Please arrive 15 minutes early.,Medical;Personal;Reminder;Internal Communication;Unknown,Medical,
Invitation to Exclusive Networking Dinner,Join us for an exclusive networking dinner with industry leaders. Limited seats available – RSVP by tonight.,Networking;Event;Promotion;Internal Communication;Unknown,Networking,
System Upgrade Notification,Our software will undergo a system upgrade this weekend. Expect brief downtimes during the process. We appreciate your patience.,IT Support;Update;Internal Communication;Alert;Unknown,Update,
Monthly Sustainability Report,Attached is the monthly sustainability report detailing our environmental impact and green initiatives.,Report;Internal Communication;Sustainability;Update;Unknown,Sustainability,
Order Cancellation Confirmation,Your order #78910 has been successfully cancelled as per your request. Contact us if you need further assistance.,Order Cancellation;Customer Service;Notification;Internal Communication;Unknown,Order Cancellation,
Reminder: Compliance Training,All employees are required to complete the annual compliance training by the end of the week. Please log in to the training portal.,Training;Compliance;Internal Communication;Reminder;Unknown,Training,
Exciting Career Opportunity at TechCorp,We are hiring! Check out the attached job description and join our innovative team at TechCorp. Apply now!,Job;Recruitment;Promotion;Internal Communication;Unknown,Recruitment,
Family Gathering This Weekend,Don't forget about our family gathering this weekend at Uncle Bob's place. Looking forward to seeing everyone!,Personal;Family;Social;Invitation;Unknown,Family,
Legal Action Notice: Trademark Infringement,This is a formal notice regarding trademark infringement. Please cease the unauthorized use of our intellectual property immediately.,Legal;Urgent;Internal Communication;Policy;Unknown,Legal,
Invitation: Yoga Workshop for Wellness,Join us for a relaxing yoga workshop to boost your well-being. Bring your mat and comfortable attire. RSVP by Thursday.,Wellness;Workshop;Event;Personal;Unknown,Workshop,
Software Bug Report: Login Issue,Users have reported an error during login on our mobile app. Please investigate and resolve the bug as soon as possible.,Bug;Technical Support;IT;Urgent;Unknown,Bug,
Reminder: Subscription Renewal Notice,Your subscription is set to expire in 3 days. Please renew to continue enjoying our premium services without interruption.,Subscription;Billing;Reminder;Internal Communication;Unknown,Subscription,
New Training: Advanced Excel Techniques,Enhance your spreadsheet skills with our advanced Excel training session next week. Seats are limited – register now!,Training;Workshop;Skill Development;Internal Communication;Unknown,Training,
Invitation: Community Volunteer Day,"We invite you to join our community volunteer day to help local non-profits. Together, we can make a difference!",Community;Volunteer;Event;Social;Unknown,Community,
Project Kickoff Meeting Agenda,Please find attached the agenda for the project kickoff meeting scheduled for Monday. Your input is appreciated.,Project Management;Meeting;Agenda;Internal Communication;Unknown,Project Management,
Security Alert: Suspicious Email Activity,Our monitoring system has flagged suspicious email activity that might indicate phishing attempts. Please review and take necessary precautions.,Security;Alert;Internal Communication;Spam;Unknown,Security,
Order Confirmation: Furniture Purchase,Thank you for your order! Your furniture purchase has been confirmed and will be shipped shortly. Track your delivery online.,Order Confirmation;Shipping;Customer Service;Internal Communication;Unknown,Order Confirmation,
New Office Location Announcement,We are excited to announce that our new office will be located at 123 Main Street starting next month. More details to follow.,Internal Communication;Announcement;Office;Relocation;Unknown,Announcement,
Customer Loyalty Reward Program,Introducing our new loyalty reward program! Earn points with every purchase and redeem exciting rewards. Learn more inside.,Promotion;Customer Service;Reward;Loyalty;Unknown,Reward,
Event Update: Annual Tech Expo,The Annual Tech Expo schedule has been updated. Please review the new event timings and venue details attached.,Event;Update;Internal Communication;Tech;Unknown,Event,
Website Downtime Scheduled,Our website will be undergoing scheduled maintenance tonight from 12 AM to 2 AM. Please plan your activities accordingly.,Maintenance;IT Support;Internal Communication;Alert;Unknown,Maintenance,
Monthly Inventory Report,Please review the attached monthly inventory report for a detailed breakdown of stock levels and supply chain metrics.,Inventory;Report;Internal Communication;Finance;Unknown,Inventory,
Invitation: CEO Town Hall Meeting,Join our CEO for an open town hall meeting next Wednesday to discuss company performance and future strategies.,Meeting;Internal Communication;Leadership;Town Hall;Unknown,Town Hall,
Reminder: Parking Permit Renewal,This is a reminder to renew your parking permit before it expires. Please visit the HR portal to complete the process.,Internal Communication;Reminder;Parking;HR;Unknown,Reminder,
Software License Expiration Notice,Your software license is set to expire in 7 days. Renew now to avoid any interruptions in service.,License;Alert;Technical Support;Internal Communication;Unknown,License,
Exclusive Deal: 40% Off on Home Decor,Upgrade your home with our exclusive 40% discount on select home decor items. Offer valid this weekend only!,Promotion;Order Confirmation;Internal Communication;Limited Time Offer;Unknown,Promotion,
